,class_names,file_names,file_paths,labels
84,children_playing,182800-2-2-2,./data/fold1/182800-2-2-2.wav,2
85,drilling,147764-4-8-0,./data/fold1/147764-4-8-0.wav,4
86,jackhammer,180937-7-3-14,./data/fold1/180937-7-3-14.wav,7
87,siren,164053-8-3-0,./data/fold1/164053-8-3-0.wav,8
88,jackhammer,180937-7-3-28,./data/fold1/180937-7-3-28.wav,7
89,engine_idling,113205-5-1-6,./data/fold1/113205-5-1-6.wav,5
90,children_playing,182800-2-0-0,./data/fold1/182800-2-0-0.wav,2
91,street_music,26270-9-0-3,./data/fold1/26270-9-0-3.wav,9
92,dog_bark,138015-3-0-5,./data/fold1/138015-3-0-5.wav,3
93,drilling,55020-4-0-13,./data/fold1/55020-4-0-13.wav,4
94,siren,157867-8-0-12,./data/fold1/157867-8-0-12.wav,8
95,jackhammer,180937-7-0-6,./data/fold1/180937-7-0-6.wav,7
96,jackhammer,180937-7-1-11,./data/fold1/180937-7-1-11.wav,7
97,street_music,69304-9-0-12,./data/fold1/69304-9-0-12.wav,9
98,drilling,55020-4-0-8,./data/fold1/55020-4-0-8.wav,4
99,children_playing,192124-2-0-3,./data/fold1/192124-2-0-3.wav,2
100,jackhammer,103074-7-4-4,./data/fold1/103074-7-4-4.wav,7
101,jackhammer,180937-7-2-4,./data/fold1/180937-7-2-4.wav,7
102,air_conditioner,57320-0-0-32,./data/fold1/57320-0-0-32.wav,0
103,air_conditioner,134717-0-0-24,./data/fold1/134717-0-0-24.wav,0
104,air_conditioner,134717-0-0-18,./data/fold1/134717-0-0-18.wav,0
105,dog_bark,72579-3-0-4,./data/fold1/72579-3-0-4.wav,3
106,dog_bark,130030-3-0-0,./data/fold1/130030-3-0-0.wav,3
107,air_conditioner,177621-0-0-147,./data/fold1/177621-0-0-147.wav,0
108,dog_bark,72579-3-0-0,./data/fold1/72579-3-0-0.wav,3
109,air_conditioner,134717-0-0-20,./data/fold1/134717-0-0-20.wav,0
110,jackhammer,180937-7-2-0,./data/fold1/180937-7-2-0.wav,7
111,air_conditioner,57320-0-0-36,./data/fold1/57320-0-0-36.wav,0
112,air_conditioner,57320-0-0-22,./data/fold1/57320-0-0-22.wav,0
113,dog_bark,193394-3-0-4,./data/fold1/193394-3-0-4.wav,3
114,dog_bark,203356-3-0-0,./data/fold1/203356-3-0-0.wav,3
115,jackhammer,103074-7-4-0,./data/fold1/103074-7-4-0.wav,7
116,children_playing,192124-2-0-7,./data/fold1/192124-2-0-7.wav,2
117,jackhammer,180937-7-1-15,./data/fold1/180937-7-1-15.wav,7
118,jackhammer,180937-7-0-2,./data/fold1/180937-7-0-2.wav,7
119,street_music,99180-9-0-0,./data/fold1/99180-9-0-0.wav,9
120,siren,157867-8-0-16,./data/fold1/157867-8-0-16.wav,8
121,dog_bark,138015-3-0-1,./data/fold1/138015-3-0-1.wav,3
122,engine_idling,113205-5-1-2,./data/fold1/113205-5-1-2.wav,5
123,engine_idling,17592-5-1-1,./data/fold1/17592-5-1-1.wav,5
124,jackhammer,180937-7-3-10,./data/fold1/180937-7-3-10.wav,7
125,drilling,46669-4-0-10,./data/fold1/46669-4-0-10.wav,4
126,street_music,137156-9-0-5,./data/fold1/137156-9-0-5.wav,9
127,street_music,161702-9-0-6,./data/fold1/161702-9-0-6.wav,9
128,dog_bark,31840-3-0-0,./data/fold1/31840-3-0-0.wav,3
129,jackhammer,180937-7-4-6,./data/fold1/180937-7-4-6.wav,7
130,jackhammer,174276-7-3-0,./data/fold1/174276-7-3-0.wav,7
131,dog_bark,51022-3-30-4,./data/fold1/51022-3-30-4.wav,3
132,siren,159738-8-0-7,./data/fold1/159738-8-0-7.wav,8
133,street_music,132016-9-0-16,./data/fold1/132016-9-0-16.wav,9
134,street_music,21684-9-0-50,./data/fold1/21684-9-0-50.wav,9
135,siren,159738-8-0-6,./data/fold1/159738-8-0-6.wav,8
136,jackhammer,180937-7-4-7,./data/fold1/180937-7-4-7.wav,7
137,drilling,46669-4-0-39,./data/fold1/46669-4-0-39.wav,4
138,engine_idling,17592-5-1-0,./data/fold1/17592-5-1-0.wav,5
139,jackhammer,180937-7-3-11,./data/fold1/180937-7-3-11.wav,7
140,engine_idling,113205-5-1-3,./data/fold1/113205-5-1-3.wav,5
141,jackhammer,98223-7-7-0,./data/fold1/98223-7-7-0.wav,7
142,gun_shot,197318-6-7-0,./data/fold1/197318-6-7-0.wav,6
143,jackhammer,180937-7-1-14,./data/fold1/180937-7-1-14.wav,7
144,siren,157867-8-0-17,./data/fold1/157867-8-0-17.wav,8
145,jackhammer,103074-7-4-1,./data/fold1/103074-7-4-1.wav,7
146,dog_bark,203356-3-0-1,./data/fold1/203356-3-0-1.wav,3
147,gun_shot,174294-6-0-0,./data/fold1/174294-6-0-0.wav,6
148,street_music,99180-9-0-36,./data/fold1/99180-9-0-36.wav,9
149,air_conditioner,134717-0-0-21,./data/fold1/134717-0-0-21.wav,0
150,air_conditioner,57320-0-0-37,./data/fold1/57320-0-0-37.wav,0
151,jackhammer,180937-7-2-1,./data/fold1/180937-7-2-1.wav,7
152,car_horn,162540-1-2-0,./data/fold1/162540-1-2-0.wav,1
153,dog_bark,57553-3-0-0,./data/fold1/57553-3-0-0.wav,3
154,children_playing,138031-2-0-23,./data/fold1/138031-2-0-23.wav,2
155,gun_shot,174294-6-2-0,./data/fold1/174294-6-2-0.wav,6
156,dog_bark,72579-3-0-3,./data/fold1/72579-3-0-3.wav,3
157,air_conditioner,57320-0-0-21,./data/fold1/57320-0-0-21.wav,0
158,jackhammer,180937-7-2-3,./data/fold1/180937-7-2-3.wav,7
159,dog_bark,72261-3-0-27,./data/fold1/72261-3-0-27.wav,3
160,air_conditioner,134717-0-0-23,./data/fold1/134717-0-0-23.wav,0
161,gun_shot,197318-6-5-0,./data/fold1/197318-6-5-0.wav,6
162,engine_idling,146186-5-0-8,./data/fold1/146186-5-0-8.wav,5
163,car_horn,162540-1-0-0,./data/fold1/162540-1-0-0.wav,1
164,dog_bark,160094-3-0-0,./data/fold1/160094-3-0-0.wav,3
165,dog_bark,57553-3-2-0,./data/fold1/57553-3-2-0.wav,3
166,dog_bark,193394-3-0-7,./data/fold1/193394-3-0-7.wav,3
167,children_playing,192124-2-0-4,./data/fold1/192124-2-0-4.wav,2
168,dog_bark,9031-3-2-0,./data/fold1/9031-3-2-0.wav,3
169,dog_bark,203356-3-0-3,./data/fold1/203356-3-0-3.wav,3
170,jackhammer,103074-7-4-3,./data/fold1/103074-7-4-3.wav,7
171,drilling,55020-4-0-14,./data/fold1/55020-4-0-14.wav,4
172,siren,43806-8-0-0,./data/fold1/43806-8-0-0.wav,8
173,siren,157867-8-0-15,./data/fold1/157867-8-0-15.wav,8
174,jackhammer,180937-7-0-1,./data/fold1/180937-7-0-1.wav,7
175,street_music,69304-9-0-15,./data/fold1/69304-9-0-15.wav,9
176,street_music,172314-9-0-22,./data/fold1/172314-9-0-22.wav,9
177,dog_bark,101415-3-0-3,./data/fold1/101415-3-0-3.wav,3
178,engine_idling,113205-5-1-1,./data/fold1/113205-5-1-1.wav,5
179,jackhammer,180937-7-3-13,./data/fold1/180937-7-3-13.wav,7
180,engine_idling,17592-5-1-2,./data/fold1/17592-5-1-2.wav,5
181,car_horn,179867-1-0-0,./data/fold1/179867-1-0-0.wav,1
182,car_horn,94868-1-1-0,./data/fold1/94868-1-1-0.wav,1
183,jackhammer,98223-7-5-0,./data/fold1/98223-7-5-0.wav,7
184,jackhammer,180937-7-4-5,./data/fold1/180937-7-4-5.wav,7
185,siren,159738-8-0-4,./data/fold1/159738-8-0-4.wav,8
186,siren,159738-8-0-5,./data/fold1/159738-8-0-5.wav,8
187,dog_bark,43786-3-0-0,./data/fold1/43786-3-0-0.wav,3
188,street_music,132016-9-0-14,./data/fold1/132016-9-0-14.wav,9
189,jackhammer,180937-7-4-4,./data/fold1/180937-7-4-4.wav,7
190,dog_bark,197073-3-0-0,./data/fold1/197073-3-0-0.wav,3
191,jackhammer,180937-7-3-12,./data/fold1/180937-7-3-12.wav,7
192,engine_idling,17592-5-1-3,./data/fold1/17592-5-1-3.wav,5
193,jackhammer,174276-7-1-0,./data/fold1/174276-7-1-0.wav,7
194,children_playing,143651-2-0-39,./data/fold1/143651-2-0-39.wav,2
195,engine_idling,113205-5-1-0,./data/fold1/113205-5-1-0.wav,5
196,dog_bark,101415-3-0-2,./data/fold1/101415-3-0-2.wav,3
197,siren,157867-8-0-28,./data/fold1/157867-8-0-28.wav,8
198,street_music,69304-9-0-14,./data/fold1/69304-9-0-14.wav,9
199,siren,157867-8-0-14,./data/fold1/157867-8-0-14.wav,8
200,street_music,99180-9-0-2,./data/fold1/99180-9-0-2.wav,9
201,jackhammer,180937-7-0-0,./data/fold1/180937-7-0-0.wav,7
202,gun_shot,86278-6-0-0,./data/fold1/86278-6-0-0.wav,6
203,gun_shot,197318-6-11-0,./data/fold1/197318-6-11-0.wav,6
204,children_playing,192124-2-0-5,./data/fold1/192124-2-0-5.wav,2
205,jackhammer,103074-7-4-2,./data/fold1/103074-7-4-2.wav,7
206,dog_bark,203356-3-0-2,./data/fold1/203356-3-0-2.wav,3
207,drilling,165642-4-0-0,./data/fold1/165642-4-0-0.wav,4
208,engine_idling,146186-5-0-9,./data/fold1/146186-5-0-9.wav,5
209,air_conditioner,57320-0-0-34,./data/fold1/57320-0-0-34.wav,0
210,jackhammer,180937-7-2-2,./data/fold1/180937-7-2-2.wav,7
211,air_conditioner,134717-0-0-22,./data/fold1/134717-0-0-22.wav,0
212,drilling,165645-4-5-0,./data/fold1/165645-4-5-0.wav,4
213,children_playing,135776-2-0-65,./data/fold1/135776-2-0-65.wav,2
214,dog_bark,72579-3-0-2,./data/fold1/72579-3-0-2.wav,3
215,air_conditioner,177621-0-0-145,./data/fold1/177621-0-0-145.wav,0
216,children_playing,138031-2-0-22,./data/fold1/138031-2-0-22.wav,2
217,engine_idling,143604-5-0-0,./data/fold1/143604-5-0-0.wav,5
218,jackhammer,103074-7-1-1,./data/fold1/103074-7-1-1.wav,7
219,children_playing,138031-2-0-45,./data/fold1/138031-2-0-45.wav,2
220,gun_shot,197318-6-2-0,./data/fold1/197318-6-2-0.wav,6
221,engine_idling,103258-5-0-10,./data/fold1/103258-5-0-10.wav,5
222,car_horn,179858-1-0-0,./data/fold1/179858-1-0-0.wav,1
223,jackhammer,103074-7-3-3,./data/fold1/103074-7-3-3.wav,7
224,air_conditioner,57320-0-0-9,./data/fold1/57320-0-0-9.wav,0
225,street_music,194732-9-0-95,./data/fold1/194732-9-0-95.wav,9
226,siren,40722-8-0-1,./data/fold1/40722-8-0-1.wav,8
227,engine_idling,146186-5-0-13,./data/fold1/146186-5-0-13.wav,5
228,children_playing,193698-2-0-42,./data/fold1/193698-2-0-42.wav,2
229,children_playing,160009-2-0-11,./data/fold1/160009-2-0-11.wav,2
230,street_music,77766-9-0-4,./data/fold1/77766-9-0-4.wav,9
231,engine_idling,176787-5-0-26,./data/fold1/176787-5-0-26.wav,5
232,siren,164053-8-2-1,./data/fold1/164053-8-2-1.wav,8
233,children_playing,108362-2-0-30,./data/fold1/108362-2-0-30.wav,2
234,siren,159738-8-0-19,./data/fold1/159738-8-0-19.wav,8
235,street_music,139951-9-0-45,./data/fold1/139951-9-0-45.wav,9
236,gun_shot,102305-6-0-0,./data/fold1/102305-6-0-0.wav,6
237,jackhammer,180937-7-1-7,./data/fold1/180937-7-1-7.wav,7
238,children_playing,192124-2-0-15,./data/fold1/192124-2-0-15.wav,2
239,jackhammer,98223-7-2-0,./data/fold1/98223-7-2-0.wav,7
240,street_music,124489-9-0-17,./data/fold1/124489-9-0-17.wav,9
241,drilling,46669-4-0-49,./data/fold1/46669-4-0-49.wav,4
242,street_music,194732-9-0-126,./data/fold1/194732-9-0-126.wav,9
243,drilling,46669-4-0-61,./data/fold1/46669-4-0-61.wav,4
244,engine_idling,119455-5-0-7,./data/fold1/119455-5-0-7.wav,5
245,air_conditioner,151977-0-0-2,./data/fold1/151977-0-0-2.wav,0
246,siren,157867-8-0-1,./data/fold1/157867-8-0-1.wav,8
247,street_music,26270-9-0-30,./data/fold1/26270-9-0-30.wav,9
248,drilling,78360-4-0-14,./data/fold1/78360-4-0-14.wav,4
249,jackhammer,180937-7-3-5,./data/fold1/180937-7-3-5.wav,7
250,dog_bark,54858-3-0-0,./data/fold1/54858-3-0-0.wav,3
251,jackhammer,180937-7-3-4,./data/fold1/180937-7-3-4.wav,7
252,street_music,21684-9-0-5,./data/fold1/21684-9-0-5.wav,9
253,drilling,78360-4-0-15,./data/fold1/78360-4-0-15.wav,4
254,air_conditioner,151977-0-0-3,./data/fold1/151977-0-0-3.wav,0
255,siren,157867-8-0-0,./data/fold1/157867-8-0-0.wav,8
256,engine_idling,119455-5-0-6,./data/fold1/119455-5-0-6.wav,5
257,drilling,46669-4-0-48,./data/fold1/46669-4-0-48.wav,4
258,street_music,124489-9-0-16,./data/fold1/124489-9-0-16.wav,9
259,street_music,26270-9-0-19,./data/fold1/26270-9-0-19.wav,9
260,dog_bark,65749-3-1-14,./data/fold1/65749-3-1-14.wav,3
261,street_music,73277-9-0-28,./data/fold1/73277-9-0-28.wav,9
262,jackhammer,180937-7-1-6,./data/fold1/180937-7-1-6.wav,7
263,jackhammer,174276-7-6-0,./data/fold1/174276-7-6-0.wav,7
264,dog_bark,197073-3-7-0,./data/fold1/197073-3-7-0.wav,3
265,children_playing,143651-2-0-63,./data/fold1/143651-2-0-63.wav,2
266,siren,159738-8-0-18,./data/fold1/159738-8-0-18.wav,8
267,dog_bark,176257-3-0-0,./data/fold1/176257-3-0-0.wav,3
268,siren,164053-8-2-0,./data/fold1/164053-8-2-0.wav,8
269,air_conditioner,177621-0-0-88,./data/fold1/177621-0-0-88.wav,0
270,engine_idling,176787-5-0-27,./data/fold1/176787-5-0-27.wav,5
271,street_music,172314-9-0-51,./data/fold1/172314-9-0-51.wav,9
272,street_music,77766-9-0-5,./data/fold1/77766-9-0-5.wav,9
273,engine_idling,146186-5-0-12,./data/fold1/146186-5-0-12.wav,5
274,siren,40722-8-0-0,./data/fold1/40722-8-0-0.wav,8
275,jackhammer,103074-7-3-2,./data/fold1/103074-7-3-2.wav,7
276,children_playing,182800-2-1-0,./data/fold1/182800-2-1-0.wav,2
277,dog_bark,118101-3-0-0,./data/fold1/118101-3-0-0.wav,3
278,drilling,165645-4-2-0,./data/fold1/165645-4-2-0.wav,4
279,engine_idling,103258-5-0-11,./data/fold1/103258-5-0-11.wav,5
280,air_conditioner,134717-0-0-2,./data/fold1/134717-0-0-2.wav,0
281,jackhammer,103074-7-1-0,./data/fold1/103074-7-1-0.wav,7
282,jackhammer,103074-7-1-2,./data/fold1/103074-7-1-2.wav,7
283,children_playing,182800-2-3-0,./data/fold1/182800-2-3-0.wav,2
284,air_conditioner,127873-0-0-0,./data/fold1/127873-0-0-0.wav,0
285,air_conditioner,177621-0-0-109,./data/fold1/177621-0-0-109.wav,0
286,dog_bark,176258-3-1-12,./data/fold1/176258-3-1-12.wav,3
287,engine_idling,103258-5-0-13,./data/fold1/103258-5-0-13.wav,5
288,air_conditioner,134717-0-0-0,./data/fold1/134717-0-0-0.wav,0
289,siren,164053-8-0-0,./data/fold1/164053-8-0-0.wav,8
290,jackhammer,103074-7-3-0,./data/fold1/103074-7-3-0.wav,7
291,engine_idling,146186-5-0-10,./data/fold1/146186-5-0-10.wav,5
292,dog_bark,203440-3-0-1,./data/fold1/203440-3-0-1.wav,3
293,siren,40722-8-0-2,./data/fold1/40722-8-0-2.wav,8
294,engine_idling,176787-5-0-25,./data/fold1/176787-5-0-25.wav,5
295,street_music,77766-9-0-7,./data/fold1/77766-9-0-7.wav,9
296,street_music,194732-9-0-41,./data/fold1/194732-9-0-41.wav,9
297,engine_idling,176787-5-0-19,./data/fold1/176787-5-0-19.wav,5
298,drilling,165645-4-0-0,./data/fold1/165645-4-0-0.wav,4
299,siren,164053-8-2-2,./data/fold1/164053-8-2-2.wav,8
300,drilling,78360-4-0-8,./data/fold1/78360-4-0-8.wav,4
301,engine_idling,44736-5-0-1,./data/fold1/44736-5-0-1.wav,5
302,street_music,73277-9-0-16,./data/fold1/73277-9-0-16.wav,9
303,children_playing,193698-2-0-113,./data/fold1/193698-2-0-113.wav,2
304,jackhammer,180937-7-1-4,./data/fold1/180937-7-1-4.wav,7
305,street_music,124489-9-0-14,./data/fold1/124489-9-0-14.wav,9
306,children_playing,165067-2-0-72,./data/fold1/165067-2-0-72.wav,2
307,gun_shot,7061-6-0-0,./data/fold1/7061-6-0-0.wav,6
308,siren,157867-8-0-2,./data/fold1/157867-8-0-2.wav,8
309,air_conditioner,151977-0-0-1,./data/fold1/151977-0-0-1.wav,0
310,engine_idling,119455-5-0-4,./data/fold1/119455-5-0-4.wav,5
311,drilling,78360-4-0-17,./data/fold1/78360-4-0-17.wav,4
312,drilling,46669-4-0-8,./data/fold1/46669-4-0-8.wav,4
313,street_music,21684-9-0-7,./data/fold1/21684-9-0-7.wav,9
314,jackhammer,174276-7-4-0,./data/fold1/174276-7-4-0.wav,7
315,jackhammer,180937-7-3-6,./data/fold1/180937-7-3-6.wav,7
316,jackhammer,180937-7-3-7,./data/fold1/180937-7-3-7.wav,7
317,drilling,46669-4-0-9,./data/fold1/46669-4-0-9.wav,4
318,drilling,78360-4-0-16,./data/fold1/78360-4-0-16.wav,4
319,engine_idling,119455-5-0-5,./data/fold1/119455-5-0-5.wav,5
320,drilling,46669-4-0-63,./data/fold1/46669-4-0-63.wav,4
321,car_horn,19026-1-0-0,./data/fold1/19026-1-0-0.wav,1
322,siren,157867-8-0-3,./data/fold1/157867-8-0-3.wav,8
323,street_music,26270-9-0-32,./data/fold1/26270-9-0-32.wav,9
324,air_conditioner,151977-0-0-0,./data/fold1/151977-0-0-0.wav,0
325,street_music,191431-9-0-61,./data/fold1/191431-9-0-61.wav,9
326,jackhammer,180937-7-1-5,./data/fold1/180937-7-1-5.wav,7
327,dog_bark,54858-3-2-0,./data/fold1/54858-3-2-0.wav,3
328,children_playing,193698-2-0-112,./data/fold1/193698-2-0-112.wav,2
329,street_music,73277-9-0-17,./data/fold1/73277-9-0-17.wav,9
330,engine_idling,44736-5-0-0,./data/fold1/44736-5-0-0.wav,5
331,jackhammer,98223-7-0-0,./data/fold1/98223-7-0-0.wav,7
332,drilling,17913-4-1-0,./data/fold1/17913-4-1-0.wav,4
333,drilling,78360-4-0-9,./data/fold1/78360-4-0-9.wav,4
334,siren,164053-8-2-3,./data/fold1/164053-8-2-3.wav,8
335,children_playing,196079-2-0-0,./data/fold1/196079-2-0-0.wav,2
336,engine_idling,176787-5-0-18,./data/fold1/176787-5-0-18.wav,5
337,gun_shot,197318-6-0-0,./data/fold1/197318-6-0-0.wav,6
338,street_music,77766-9-0-6,./data/fold1/77766-9-0-6.wav,9
339,engine_idling,176787-5-0-30,./data/fold1/176787-5-0-30.wav,5
340,street_music,172314-9-0-52,./data/fold1/172314-9-0-52.wav,9
341,engine_idling,176787-5-0-24,./data/fold1/176787-5-0-24.wav,5
342,siren,40722-8-0-3,./data/fold1/40722-8-0-3.wav,8
343,air_conditioner,177621-0-0-48,./data/fold1/177621-0-0-48.wav,0
344,dog_bark,203440-3-0-0,./data/fold1/203440-3-0-0.wav,3
345,engine_idling,146186-5-0-11,./data/fold1/146186-5-0-11.wav,5
346,dog_bark,118101-3-0-3,./data/fold1/118101-3-0-3.wav,3
347,jackhammer,103074-7-3-1,./data/fold1/103074-7-3-1.wav,7
348,air_conditioner,57320-0-0-45,./data/fold1/57320-0-0-45.wav,0
349,air_conditioner,134717-0-0-1,./data/fold1/134717-0-0-1.wav,0
350,dog_bark,176258-3-1-13,./data/fold1/176258-3-1-13.wav,3
351,engine_idling,103258-5-0-12,./data/fold1/103258-5-0-12.wav,5
352,children_playing,138031-2-0-47,./data/fold1/138031-2-0-47.wav,2
353,air_conditioner,177621-0-0-120,./data/fold1/177621-0-0-120.wav,0
354,children_playing,182800-2-3-1,./data/fold1/182800-2-3-1.wav,2
355,jackhammer,103074-7-1-3,./data/fold1/103074-7-1-3.wav,7
356,car_horn,24074-1-0-8,./data/fold1/24074-1-0-8.wav,1
357,jackhammer,98223-7-4-0,./data/fold1/98223-7-4-0.wav,7
358,engine_idling,103258-5-0-16,./data/fold1/103258-5-0-16.wav,5
359,air_conditioner,134717-0-0-5,./data/fold1/134717-0-0-5.wav,0
360,siren,40722-8-0-7,./data/fold1/40722-8-0-7.wav,8
361,car_horn,184355-1-0-0,./data/fold1/184355-1-0-0.wav,1
362,siren,106905-8-0-1,./data/fold1/106905-8-0-1.wav,8
363,engine_idling,176787-5-0-20,./data/fold1/176787-5-0-20.wav,5
364,car_horn,94868-1-0-0,./data/fold1/94868-1-0-0.wav,1
365,car_horn,162540-1-1-0,./data/fold1/162540-1-1-0.wav,1
366,dog_bark,9031-3-3-0,./data/fold1/9031-3-3-0.wav,3
367,jackhammer,180937-7-1-1,./data/fold1/180937-7-1-1.wav,7
368,street_music,155202-9-0-42,./data/fold1/155202-9-0-42.wav,9
369,dog_bark,51022-3-13-0,./data/fold1/51022-3-13-0.wav,3
370,street_music,73277-9-0-0,./data/fold1/73277-9-0-0.wav,9
371,air_conditioner,151977-0-0-4,./data/fold1/151977-0-0-4.wav,0
372,siren,157867-8-0-7,./data/fold1/157867-8-0-7.wav,8
373,drilling,14113-4-0-1,./data/fold1/14113-4-0-1.wav,4
